card_number,distance_from_home,transaction_hour,merchant_category,merchant_type,merchant,currency,country,city,city_size,card_type,card_present,device,channel,high_risk_merchant,weekend_transaction,is_fraud,transaction_id,customer_id,timestamp,amount,device_fingerprint,ip_address,velocity_last_hour
4783486003052543.0,0.3015832525256703,0.0,Travel,streaming,AMC Theaters,GBP,USA,Unknown City,medium,Platinum Credit,False,Safari,web,False,False,False,TX_910f86c4,CUST_25795,2024-09-30 00:03:13.999178+00:00,36332.29,0dab2f03-04f0-4b7c-bf75-c5eabae3c058,240.235.79.41,"{'num_transactions': 127, 'total_amount': 4098176.4325989266, 'unique_merchants': 76, 'unique_countries': 12, 'max_single_amount': 916839.7425555323}"
6006390967500805.0,1.0,0.0,Gas,transport,DuaneReade,NGN,France,Unknown City,medium,Basic Credit,False,Chrome,web,True,False,True,TX_c61de00a,CUST_10860,2024-09-30 00:16:12.917697+00:00,129.85,7efa8a69-a169-4fc8-9de0-902a06b50a5a,116.57.170.107,"{'num_transactions': 1213, 'total_amount': 47974005.44293746, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3974574.762921046}"
370040020926465.25,0.0,0.0,Healthcare,events,University Bookstore,EUR,Brazil,Unknown City,medium,Basic Credit,False,Chip Reader,web,False,False,True,TX_3b33c8df,CUST_86820,2024-09-30 00:03:44.230468+00:00,30455.16,90fcf6a7-8d5d-4190-8833-b7887ffc3dbf,26.22.179.170,"{'num_transactions': 80, 'total_amount': 2576618.461931879, 'unique_merchants': 55, 'unique_countries': 9, 'max_single_amount': 849772.8848253827}"
5012263341654016.0,0.8902926388036722,0.0,Restaurant,events,University Bookstore,AUD,Nigeria,Unknown City,medium,Basic Debit,False,Android App,web,True,False,False,TX_d4d50d96,CUST_64886,2024-09-30 00:16:37.423696+00:00,520.57,3c4353fc-8db8-4677-aae1-ab5065af70fa,172.31.147.184,"{'num_transactions': 137, 'total_amount': 3000124.593142275, 'unique_merchants': 75, 'unique_countries': 12, 'max_single_amount': 960408.8368557602}"
370469886754813.7,0.45861996572919733,0.0,Travel,local,Shell,MXN,Japan,Unknown City,medium,Basic Credit,False,Safari,web,False,False,False,TX_edd62de9,CUST_16265,2024-09-30 00:00:35.988383+00:00,45882.79,4e560834-2132-4ff0-b37e-10f07f96ce5b,22.122.157.240,"{'num_transactions': 832, 'total_amount': 17292769.11149419, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1405710.1870044626}"
5222803175374846.0,0.5518432798603767,0.0,Entertainment,online,MasterClass,CAD,Russia,Unknown City,medium,Gold Credit,True,Android App,mobile,False,False,False,TX_cb454f11,CUST_92386,2024-09-30 00:21:59.069618+00:00,393.51,e823343c-97d6-4415-820b-d3c5b8ecb13f,234.59.208.46,"{'num_transactions': 165, 'total_amount': 6417563.804707344, 'unique_merchants': 75, 'unique_countries': 12, 'max_single_amount': 937434.8261026357}"
4872095473336316.0,1.0,0.0,Retail,online,Wendy's,EUR,Canada,Unknown City,medium,Platinum Credit,False,Magnetic Stripe,web,False,False,True,TX_aca13a9e,CUST_47194,2024-09-30 00:08:51.921415+00:00,1072.68,5ab152b0-5de5-43bf-a375-7126175e37c6,160.83.211.14,"{'num_transactions': 321, 'total_amount': 17431134.98173065, 'unique_merchants': 97, 'unique_countries': 12, 'max_single_amount': 987229.2498432733}"
370037672116226.6,0.31381325101458296,0.0,Entertainment,pharmacy,Trader Joe's,USD,Germany,Unknown City,large,Platinum Credit,False,Edge,web,True,False,False,TX_6c6acb47,CUST_97498,2024-09-30 00:06:39.306409+00:00,2594.53,bfadcb3d-fb94-4c20-a0a4-098a3c2703bd,219.101.74.194,"{'num_transactions': 1034, 'total_amount': 125284458.9597344, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4022046.1156775453}"
4918108531720192.0,0.13196382830241027,0.0,Entertainment,events,University Bookstore,CAD,Australia,Unknown City,medium,Basic Credit,False,Android App,web,False,False,False,TX_dfbf0dd8,CUST_54131,2024-09-30 00:01:50.504730+00:00,157.11,81497943-14f3-4ccf-8a0e-d924f4f83ba7,150.75.159.36,"{'num_transactions': 303, 'total_amount': 7479595.75067793, 'unique_merchants': 91, 'unique_countries': 12, 'max_single_amount': 1963585.9060701635}"
370047637782529.06,0.5109824730098422,0.0,Education,local,Udemy,BRL,Japan,Unknown City,large,Gold Credit,True,Edge,pos,False,False,False,TX_f7be8a15,CUST_70263,2024-09-30 00:02:13.808585+00:00,910.89,0aec77da-e5fd-4ae0-bd81-e2fe336531b8,88.48.7.159,"{'num_transactions': 1011, 'total_amount': 39303443.17834249, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3071336.495834594}"
